Gene	pMIG_plus_1	pMIG_plus_2	pMIG_plus_3	pMIG_plus_4	pMIG_plus_5	pMIG_plus_6	pMIG_BCR_ABL_1	pMIG_BCR_ABL_2	pMIG_BCR_ABL_3	pMIG_BCR_ABL_4	pMIG_BCR_ABL_5	pMIG_BCR_ABL_6
Pik3cd	6.197987235	6.057079803	5.958457596	5.99195714	6.370704841	6.310716379	7.847420715	7.847702577	7.884890923	7.924919366	8.055385481	8.047838265
Pik3r6	1.419436416	1.36456683	1.295370388	0.553569888	1.004645205	1.400395839	3.565316895	3.657731457	3.58394023	3.267314058	3.345051416	3.376851569
Igf1	0.005447792	0	0.004710189	0.15786898	0.061711093	0.050904238	1.048040837	1.534245913	1.707074154	1.188299635	1.288972721	1.533010084
Socs1	2.901658564	2.989731227	2.825622832	3.874167432	5.183498424	4.543236026	5.886267238	6.084287542	5.902657294	4.970066766	5.422138792	5.393052323
Lgals3	0.532386786	0.232003721	0.241513176	0.316525776	0.252450781	0.275922451	1.027132814	1.080596271	0.955916838	1.45196804	1.543599813	1.625335959
Cd2	2.379986857	2.455412711	2.397288208	2.117432408	5.559274597	2.041551397	6.717073175	6.665449623	6.720210051	6.760819727	6.472349669	6.553134681
Ctla4	0.023804075	0.019682275	0	0.081409579	0.054859032	0.023713393	3.051716637	4.146125681	4.585563498	3.056476016	3.246382243	3.356456548
Tnfsf11	0	0	0	0.714020385	1.027097419	0.160085042	3.339805831	3.202798524	2.727338904	4.278014493	4.523248293	4.440141617
Flt3	0.258546663	0.169595388	0.234031586	0.162045	0.062188732	0.094381616	1.403900297	1.343356652	1.318449896	1.48038922	1.707180199	1.566313472
Irs2	0.067327155	0	0.025302987	0.252295752	0.646693545	0	1.759547887	1.828192858	1.978539785	1.783397981	1.971460783	1.932888896
Il6st	0.035039394	0.034750991	0.018279367	0.389534874	0.088352625	1.084145924	1.70543831	1.828749364	1.894092111	1.181700501	1.415715407	1.469026353
Cdkn2a	0.647316352	0.518701304	0.561131564	1.066268332	1.291809811	1.435553924	5.630020981	5.786990958	5.678145165	5.595411162	5.742372768	5.686859055
Batf	1.708151913	1.669085742	1.678865169	3.527933592	3.79592276	4.142037602	5.107340543	5.269848548	5.274865454	5.549022215	5.181480274	5.270913859
Il4ra	0.89222858	0.861218548	0.966879302	1.352973162	1.940384783	2.224839834	2.232347627	2.424650718	2.447751093	2.590098958	2.578320455	2.643717684
Xbp1	4.987311769	5.048711367	4.914306193	5.383082158	5.356157899	4.947857818	5.98918216	6.346588193	6.041464224	6.090794164	6.054633619	6.12124754
Itgal	0.518361904	0.380671828	0.268608057	0.365367796	0.940269004	1.806616898	1.599784332	2.253710984	1.927714447	1.861479018	2.060815233	1.990827825
Il12rb1	0.558595816	0.343170149	0.39487189	0.22924828	0.451737047	0.147770371	1.160352289	1.567014804	1.373659346	0.592165658	0.694640429	0.695292778
Tyro3	1.876617134	1.583952261	1.745043669	0.476105825	0.20456019	1.508661899	2.617404283	2.502376433	2.450464345	2.531531181	2.537517239	2.584120683
Bank1	2.051883654	1.88434003	2.039836756	0.939018152	1.424981192	1.810179837	4.511404784	3.803423378	3.953470126	3.662399213	3.619765131	3.63126729
Tnfrsf21	3.186586128	3.177801415	3.032199606	2.91777735	1.888410112	3.141162996	4.125618042	3.880724702	3.87592747	3.685603817	3.959065325	3.985418457
Bcl11a	2.16576083	2.307597558	2.079511237	2.767487427	2.925158234	2.113016991	3.970457963	3.18318794	3.501260788	3.953591182	4.53323316	4.548898953
Ms4a1	0.247912935	0.177611685	0.306296075	0.612331737	2.796859359	2.665181263	0.071697191	0	0	0.042197733	0.066312425	0
Cd40	0.507994511	0.692448624	0.635320705	2.115422838	2.281104732	1.952143431	0.370109585	0.212988858	0.197549649	0.229730647	0.222945486	0.510152771
Ptpn22	1.927517246	2.140906235	2.073114134	0.538343474	1.388206072	1.294347254	1.499685189	1.37958215	1.199103791	0.29151044	0.315820085	0.372487464
Il2ra	4.396960916	4.592086224	4.344217778	4.370164281	5.197358252	2.586591826	4.029594233	4.089006547	4.132346519	2.027345171	2.644862263	2.620333037
Fyn	5.872235311	5.595005291	5.56205616	6.285483599	6.273549458	6.148287431	5.083715458	5.312509076	5.164774213	5.039002367	5.310685483	5.347190821
Jak3	4.958267338	4.57706622	4.674336354	4.796099328	4.701637767	4.586812772	3.822291665	3.901639258	4.020804417	3.474591791	3.633954252	3.609353107
Zap70	5.510661326	4.987602828	5.271108147	5.091475586	5.04020861	4.491442671	3.233716301	3.745581558	3.575796375	1.413453272	1.049170705	1.515520712
Flt3l	3.582038081	3.497165246	3.510923953	3.241788331	3.937108946	2.140647793	2.211386062	2.393841752	2.323096205	2.307784055	2.322092553	2.188090702
Il7r	7.275193334	7.311802798	7.26045855	7.325647253	7.28837702	6.546170616	6.190346206	6.23256483	6.18717785	5.857142496	6.101725705	6.072841113
Itgav	4.787510824	4.846914479	4.774776519	4.305124203	4.362112151	3.462366483	3.274805831	3.439905001	3.386744741	2.544675788	3.321834317	3.323447895
Socs5	3.040599655	3.121836011	2.878525253	3.373272352	3.855621006	2.973319217	1.740590856	1.882267411	1.736232519	1.561555874	1.778313725	1.774624731
Cd46	2.019435053	2.016720944	2.080333617	2.130430122	2.331349801	1.709749402	0.968801508	1.137451061	1.124122967	1.3591388	1.419598216	1.309048097
Lat2	3.125783332	3.07153101	3.218779618	2.522686037	3.24005172	2.515737679	1.267691595	1.110336514	1.399056221	2.026332657	1.529521135	1.627317336
