pMIG_plus_1	pMIG_plus_2	pMIG_plus_3	pMIG_plus_4	pMIG_plus_5	pMIG_plus_6	pMIG_BCR_ABL_1	pMIG_BCR_ABL_2	pMIG_BCR_ABL_3	pMIG_BCR_ABL_4	pMIG_BCR_ABL_5	pMIG_BCR_ABL_6
0.270460768	0.264758598	0.434530555	0.440269746	0.322700019	0.360137248	0.193167419	0.137413025	0.157805614	0.549069792	0.138417378	0.196628445
5.634247654	5.567870918	5.497126915	5.315674907	5.418294536	5.475477289	5.824877298	5.838593821	5.801194878	5.687836152	5.695348018	5.599689728
5.186417359	5.289638995	5.407437733	5.079053778	5.059627834	4.890227791	4.882237081	5.059446135	4.921983712	5.099602397	4.834372444	4.937989317
2.561235698	2.252382353	2.738979633	2.412548508	2.89677559	1.41311202	1.843975807	2.048836021	2.050034944	1.693480267	1.837261079	1.078336571
5.019808645	4.762880293	4.838376994	4.234248382	4.404351382	4.535412251	4.213813846	4.323543009	4.405121035	4.292759667	4.298394384	4.26445386
0	0	0	0	0	0	0	0	0	0	0	0
3.749427	3.943527555	3.909321891	3.436432386	3.16761163	4.167398073	4.481524991	4.534316891	4.508447669	4.659016882	4.425271302	4.495682373
5.436021882	5.294150188	5.624191572	5.194402292	5.344160954	5.523449045	5.451504567	5.446888098	5.623269906	5.141653495	5.652145141	5.439739479
5.597206367	5.490470653	5.747572693	5.746791077	5.498467894	5.626555949	4.311147048	4.538978851	4.608182362	5.070921653	4.817234394	4.879627357
4.642805525	4.68808522	4.686310023	4.545634831	4.511461714	5.121276555	4.933043805	4.850489412	4.831487134	5.06484406	4.894652874	4.853207237
4.418331646	4.463929742	4.347240438	4.145644852	4.244917495	3.879548943	3.573859222	3.579771493	3.621360332	3.451183412	3.595873596	3.600947642
4.900557712	4.830290823	5.005202345	4.909686713	4.632041322	4.539599309	4.317289595	4.62691217	4.503253316	4.065425829	4.354811802	4.227594766
0	0	0	0	0	0	0	0	0	0	0	0
3.654011561	3.710492381	3.851599143	3.560971682	3.356504439	4.067681736	3.782691624	3.748965659	3.830529151	3.877155275	3.765863558	3.805096368
1.458665475	1.430092544	1.300633338	1.010708239	1.16465114	1.968813301	1.05217241	1.55006829	1.46091552	1.398038373	1.32707222	1.504711908
3.759496755	3.925344362	3.951615768	4.656565014	5.052863624	3.854165249	3.733506195	3.655237324	3.815288501	3.689265609	4.077029314	4.044341657
3.054723473	3.019506221	3.000470602	3.533413838	3.865671418	3.052723669	2.480050512	3.071089895	2.923923102	3.146974482	2.783341402	2.874932673
0	0	0	0.127451297	0	0	0	0	0	0	0	0
0.293924853	0.325645455	0.222985041	1.486652597	1.961786294	1.162210036	1.191044602	1.439144376	1.484163916	1.971493892	2.074210839	1.980102096
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.728415132	0.340399334	0.760364889	0.630628196	0.800543361	2.097172528	0.194910314	0	0	0	0.338379914	0.248905177
7.016083973	7.481411971	7.723346947	7.51041606	7.426382179	8.155101558	7.59888623	7.428577922	7.390856814	7.024807233	6.900830589	6.805485937
3.502356064	3.493749794	3.469846914	3.113885491	3.268278677	3.384053952	3.545363002	3.430630515	3.520510253	3.219091058	3.286977226	3.196500034
5.321282344	5.438242942	5.396169767	5.028679649	4.553716832	5.651496633	5.531053893	5.55293648	5.504915892	5.509157422	5.433700602	5.394274039
6.138990536	6.306320576	6.369122695	6.642147027	6.343670753	6.400884558	6.552957992	6.526248824	6.494519616	6.658171487	6.559658527	6.508230554
1.587696221	1.692297743	1.83113544	1.654834198	1.756972026	1.688739868	1.472908821	1.191518434	1.749984704	1.315398128	1.373275136	1.227020164
3.901339983	3.646738698	3.602765663	3.679536399	3.881224109	3.911193023	4.087063923	4.030653895	3.844184763	3.682562061	3.84135929	3.995430247
6.717251434	6.911751493	6.726163653	6.943452539	6.877891456	7.242650138	7.083500602	7.158811626	7.112866909	7.099747554	7.046283686	6.938285792
3.222180123	3.35028507	3.341563121	3.37273902	3.193232406	3.529708524	3.561643849	3.501502839	3.562279064	3.781863257	3.694846771	3.721219522
4.854260017	4.808848369	4.888908815	4.53792346	4.893002949	4.715432161	3.863680803	4.066666153	3.847104965	3.632687002	3.713717807	3.531892942
4.311575772	4.190859766	4.195812147	4.747403513	4.631581609	4.279530726	3.985354696	4.032762074	3.955480203	3.960372698	3.772899122	3.837791902
0	0	0	0	0.067420782	0	0	0	0	0	0	0
0.061330362	0.099732425	0	0.163323537	0.100620864	0.097633987	0.106820117	0.066014771	0	0	0	0
1.939196482	1.923712074	1.844188781	1.883726375	1.890590663	1.258030406	1.351379567	1.655548754	1.199380243	1.815718872	1.437035935	1.537852659
2.721549841	2.877510652	2.988284766	2.621226684	2.902401647	2.236875245	1.478179723	1.525347284	1.410710144	1.612479894	1.463230083	1.50552513
0	0	0	0	0	0	0	0	0	0	0	0
0	0.01250061	0.026017854	0.052178393	0.017617663	0	0	0	0	0	0	0.017912646
0	0	0.029963649	0	0	0	0	0	0	0	0	0
2.476545002	2.411491328	2.508895108	2.643715376	3.061504911	1.949307072	2.076381227	2.005611975	2.19311568	2.027461954	1.978850918	1.787102262
0.031741006	0	0	0.279550931	0.055070958	0	0.109125162	0.148464298	0.097111025	0.048750943	0.076442526	0.055982882
2.942623348	2.869125196	2.962212139	2.579194633	2.901465493	2.209272433	1.642895612	2.112119602	1.814415068	1.839205804	2.006333934	1.952277647
0	0	0	0.126573153	0	0	0	0	0	0	0	0
4.782246043	4.686366056	4.655632325	4.662228291	4.762311605	4.560286973	4.642279906	4.631401175	4.655477773	4.421129024	4.601922291	4.591511875
7.312211356	7.586629653	7.679353418	7.69235745	7.415226277	8.387534871	8.797064872	8.407701145	8.493551271	8.436003553	8.59971576	8.495571256
5.309449069	5.267224903	5.315591589	5.357696267	5.238867092	5.315892234	5.12848313	5.149982808	5.145220937	5.274351128	5.171571139	5.191227046
0	0	0	0	0	0	0	0.080352585	0	0.148262534	0	0.248539694
2.227297481	2.027985591	2.248395175	2.39709102	1.996150085	2.389285954	2.286653491	2.303430076	2.215777982	2.802817733	2.805888811	2.787060459
2.306451825	2.69024499	2.85756106	2.845566324	2.995144383	2.800164779	2.999572538	2.900928619	3.139274656	2.764227242	2.854538302	2.689106788
4.446236376	4.494505216	4.439596544	4.384105081	4.555092172	4.410273256	4.462431925	4.411656733	4.476893604	4.429997508	4.426680728	4.389084915
2.807676401	3.557655155	3.524966332	5.203494835	5.57602624	5.54860308	5.709205152	5.689743643	5.755039779	5.703997674	5.425210867	5.32951831
5.215449518	5.454142985	5.405270832	5.329242022	5.100145083	5.426207717	5.824671127	5.771235903	5.674325054	5.901496869	5.667088828	5.69862411
3.261706816	3.415355759	3.57523971	3.318496173	3.502508827	3.180122394	3.284955284	3.324662295	3.329077659	3.431141535	3.295825861	3.219788069
4.062579391	4.44067984	4.458670724	4.417771519	4.04126927	4.809898006	4.297822366	4.255455412	4.337504163	4.032665112	3.884783496	4.015979196
